hpi,gdp,unemployment,property_price,personal_income,population,permit,new_homes,delinquency,men_married,men_unmarried_divorced,men_unmarried_widowed,women_married,women_unmarried_divorced,women_unmarried_widowed,immigrants
63.965,4722.156,6.6,85.2524,3820.2,241857.0,1690.0,1774.0,-0.9445752490642754,54059.326926520094,5689.178961650985,2134.6654206652634,55162.56110293227,8218.932526166533,11006.097500671074,599889.0
64.423,4489.181078033152,6.6,91.60009699596296,3845.0,242005.0,1689.0,1784.0,-1.6092297595008223,54490.93523857189,5639.9931407026825,2084.094321186859,55606.64612302612,8277.717102030489,10996.09198845077,599889.0
64.735,4482.8575033596435,6.6,91.82685301260966,3863.8,242166.0,1704.0,1726.0,-1.5530085621401586,54526.16710057728,5656.130670522392,2081.018766493008,55644.43667987201,8291.152537694863,11001.964519397114,599889.0
65.131,4806.16,6.3,86.0896,3875.4,242338.0,1601.0,1614.0,-0.8417240569298325,54286.526110564184,5733.390856973247,2118.9875649124306,55373.43064487969,8253.06257700437,10988.044252905129,599889.0
65.563,4521.11234659457,6.3,86.16732001760198,3908.6,242516.0,1500.0,1628.0,-1.2158474824196457,54532.00200230737,5676.083099770695,2091.3756165440905,55660.46962164964,8285.649616966479,11004.528353785077,599889.0
66.071,4515.814897978326,6.2,86.71256141565115,3919.7,242706.0,1522.0,1594.0,-1.2640507183766747,54578.14378765845,5693.0875799974,2088.3825745982517,55706.516038664384,8305.93116312275,11009.273215330713,599889.0
66.508,4884.555,6.1,86.9421,3942.1,242908.0,1516.0,1575.0,-0.8724520124736177,54497.95385155061,5764.925722798587,2111.843622903277,55574.46425426017,8301.461283190427,10971.070600808333,599889.0
66.938,4590.080352200394,6.0,86.72511403705198,3978.6,243118.0,1511.0,1605.0,-1.3644434547607194,54643.66406750858,5716.830390891503,2094.6044349385174,55768.73381365096,8338.370183728428,11010.145310163552,599889.0
67.331,4651.8604126083055,5.9,87.2576122756409,3995.6,243335.0,1514.0,1695.0,-1.5234561867808392,54671.949167204075,5725.298435820479,2101.842324090204,55789.513147440746,8362.834643748065,11003.162512517647,599889.0
67.73899999999999,5007.994,6.0,87.9304,4034.7,243543.0,1447.0,1515.0,-0.7969895393045583,54700.88715723845,5807.1208077302035,2107.63916008321,55765.22070001669,8350.792757588639,10953.99683051752,599889.0
68.108,4719.508129761204,5.8,85.78516495313124,4062.1,243724.0,1457.0,1656.0,-1.4103030051004186,54716.27705028276,5749.141564213851,2108.9108098236266,55836.24570857952,8381.982840090805,11005.688384480385,599889.0
68.505,4678.309487077616,5.7,81.93272027075878,4115.7,243895.0,1345.0,1400.0,-0.9572086022459505,54734.29235912526,5770.291784142742,2103.582400211392,55873.560104062766,8362.801625164026,11025.12235472761,599889.0
68.857,5073.372,5.7,88.7984,4128.2,244056.0,1244.0,1271.0,-0.5792029642172647,55078.68553910507,5831.275567191992,2082.400869566789,56120.94215629202,8380.330495756974,10954.558868911867,641346.0
69.26100000000001,4770.147159952122,5.7,85.89356490693424,4153.0,244205.0,1438.0,1473.0,-1.1846754249680806,54854.10577995013,5786.460172841271,2107.0333716374025,55967.9765095643,8411.40640191803,11043.933159157988,641346.0
69.637,4812.792022694018,5.7,88.56483778368886,4178.3,244362.0,1525.0,1532.0,-1.4156098072940235,54900.882724875635,5795.385792453778,2107.441198154638,56007.21919040228,8439.32420792017,11042.878701397189,641346.0
69.976,5190.036,5.4,89.9367,4209.5,244528.0,1429.0,1573.0,-1.2944489035521265,54953.802047882724,5839.254792788526,2121.2006217923017,55999.87873333155,8436.59279103465,10983.16602292432,641346.0
70.426,4830.372002941237,5.6,86.09927128632052,4225.9,244708.0,1444.0,1421.0,-1.1642954719742171,54939.61163650057,5822.57967871708,2109.6503050862266,56053.97606035738,8450.509548449354,11050.321014441015,641346.0
70.889,4886.081594606866,5.4,87.64571471348731,4258.9,244914.0,1485.0,1478.0,-1.4416506460346117,54989.48587904555,5830.797043827749,2112.8510908374637,56096.524226446716,8475.795508723855,11049.326572018996,641346.0
71.355,5282.835,5.4,91.256,4298.8,245131.0,1439.0,1467.0,-1.16124321248998,55106.40905389349,5890.373613380391,2117.1947776745556,56145.965290791435,8485.039455925253,10981.73128993446,641346.0
71.8,4975.712333376277,5.6,87.07259961458166,4323.0,245352.0,1460.0,1493.0,-1.2320789489490682,55027.39187251758,5859.657187987379,2122.727923604937,56134.055502278505,8506.65259901145,11045.521896884711,641346.0
72.241,5012.019845140144,5.4,86.60607978280586,4352.5,245579.0,1436.0,1492.0,-1.305977576182519,55063.691985859485,5871.974064271215,2126.234275908374,56169.00164694562,8522.308952178628,11046.590236464266,641346.0
72.63600000000001,5399.509,5.4,92.5778,4391.1,245789.0,1516.0,1522.0,-1.2639851386286018,55163.4988757503,5934.680407937834,2130.785483480484,56199.85487843208,8546.639508315391,10988.946924193633,641346.0
73.072,5094.632002687394,5.3,89.05752543391108,4402.5,245970.0,1508.0,1569.0,-1.575722434503584,55142.7432558513,5894.491153350526,2130.91869405985,56238.25928901789,8569.293217875216,11044.254002038178,641346.0
73.465,5134.362696245541,5.3,88.94182802605039,4438.6,246140.0,1501.0,1563.0,-1.5479072764141826,55164.14748702578,5904.31426216675,2134.313096965243,56259.689223332956,8579.492873945743,11044.951759024005,641346.0
73.947,5511.253,5.4,93.6124,4501.5,246301.0,1466.0,1621.0,-1.0447441385355525,55391.195621576524,5878.974390042007,2193.568085264201,56340.09285742328,8610.237292552272,11305.276168248653,1090172.0
